"You will be redirected to an authentication service after placing the order.","Sinut ohjataan tunnistautumispalveluun, kun teet tilauksen."
"Verified social security number:","Vahvistettu henkilötunnus:"
"There was a problem on the authentication. Please try again.","Tunnistautumisessa tapahtui virhe. Yritä uudelleen."
